"","text","created_at","retweet_count","favorite_count","clean","sent.value","category","response","month","year","week"
"6742","The United States has been reminded time and again in recent years that economic security is not merely RELATED to national security -economic security IS national security. It is vital to our national strength. #APEC2017 https://t.co/mGPeyZEyqm",2017-11-10,497,1700,"The United States has been reminded time and again in recent years that economic security is not merely RELATED to national security -economic security IS national security. It is vital to our national strength. #APEC2017 https://t.co/mGPeyZEyqm",1.15,"positive",2197,2017-11-01,2017-01-01,2017-11-06
"6743","The United States is prepared to work with each of the leaders in this room today to achieve mutually beneficial commerce that is in the interests of both your countries and mine. That is the message I am here to deliver today. #APEC2017 https://t.co/CM3Hqt16A8",2017-11-10,11207,49515,"The United States is prepared to work with each of the leaders in this room today to achieve mutually beneficial commerce that is in the interests of both your countries and mine. That is the message I am here to deliver today. #APEC2017 https://t.co/CM3Hqt16A8",3.25,"positive",60722,2017-11-01,2017-01-01,2017-11-06
"6744","Today I am here to offer a renewed partnership with America -- to work together to strengthen the bonds of friendship and commerce between all of the nations of the Indo-Pacific and together to promote our prosperity and security. #APEC2017 https://t.co/gN2YbS9CYB",2017-11-10,9485,43754,"Today I am here to offer a renewed partnership with America -- to work together to strengthen the bonds of friendship and commerce between all of the nations of the Indo-Pacific and together to promote our prosperity and security. #APEC2017 https://t.co/gN2YbS9CYB",3.7,"positive",53239,2017-11-01,2017-01-01,2017-11-06
"6746","Throughout my travels I've had the pleasure of sharing the good news from America. I've had the honor of sharing our vision for a free &amp; open Indo-Pacific -- a place where sovereign &amp; independent nations w/diverse cultures &amp; many different dreams can all prosper side-by-side. https://t.co/qBOCY3u7YV",2017-11-10,11448,52585,"Throughout my travels I've had the pleasure of sharing the good news from America. I've had the honor of sharing our vision for a free &amp; open Indo-Pacific -- a place where sovereign &amp; independent nations w/diverse cultures &amp; many different dreams can all prosper side-by-side. https://t.co/qBOCY3u7YV",4,"positive",64033,2017-11-01,2017-01-01,2017-11-06
"6748","I am leaving China for #APEC2017 in Vietnam. @FLOTUS Melania is staying behind to see the zoo and of course the Great WALL of China before going to Alaska to greet our AMAZING troops.",2017-11-10,13552,72409,"I am leaving China for #APEC2017 in Vietnam. @FLOTUS Melania is staying behind to see the zoo and of course the Great WALL of China before going to Alaska to greet our AMAZING troops.",1.8,"positive",85961,2017-11-01,2017-01-01,2017-11-06
"6749","My meetings with President Xi Jinping were very productive on both trade and the subject of North Korea. He is a highly respected and powerful representative of his people. It was great being with him and Madame Peng Liyuan!",2017-11-09,14945,83006,"My meetings with President Xi Jinping were very productive on both trade and the subject of North Korea. He is a highly respected and powerful representative of his people. It was great being with him and Madame Peng Liyuan!",2.75,"positive",97951,2017-11-01,2017-01-01,2017-11-06
"6751","In the coming months and years ahead I look forward to building an even STRONGER relationship between the United States and China. 🇺🇸🇨🇳 https://t.co/mK3SB7t3EV",2017-11-09,20496,94769,"In the coming months and years ahead I look forward to building an even STRONGER relationship between the United States and China. 🇺🇸🇨🇳 https://t.co/mK3SB7t3EV",2.5,"positive",115265,2017-11-01,2017-01-01,2017-11-06
"6752","President Xi thank you for such an incredible welcome ceremony. It was a truly memorable and impressive display! 📸https://t.co/J9x51h1LBe https://t.co/g4Z7mO5cV9",2017-11-09,19508,92838,"President Xi thank you for such an incredible welcome ceremony. It was a truly memorable and impressive display! 📸https://t.co/J9x51h1LBe https://t.co/g4Z7mO5cV9",3.35,"positive",112346,2017-11-01,2017-01-01,2017-11-06
"6753","Congratulations to all of the ”DEPLORABLES” and the millions of people who gave us a MASSIVE (304-227) Electoral College landslide victory! https://t.co/7ifv5gT7Ur",2017-11-08,35393,134128,"Congratulations to all of the ”DEPLORABLES” and the millions of people who gave us a MASSIVE (304-227) Electoral College landslide victory! https://t.co/7ifv5gT7Ur",1.25,"positive",169521,2017-11-01,2017-01-01,2017-11-06
"6754","Looking forward to a full day of meetings with President Xi and our delegations tomorrow. THANK YOU for the beautiful welcome China! @FLOTUS Melania and I will never forget it! https://t.co/sQoUWIGAiQ",2017-11-08,13517,64298,"Looking forward to a full day of meetings with President Xi and our delegations tomorrow. THANK YOU for the beautiful welcome China! @FLOTUS Melania and I will never forget it! https://t.co/sQoUWIGAiQ",1.85,"positive",77815,2017-11-01,2017-01-01,2017-11-06
"6758","Together we dream of a Korea that is free a peninsula that is safe and families that are reunited once again! https://t.co/9tsZRCC83j",2017-11-08,12909,53881,"Together we dream of a Korea that is free a peninsula that is safe and families that are reunited once again! https://t.co/9tsZRCC83j",1.5,"positive",66790,2017-11-01,2017-01-01,2017-11-06
"6761","The U.S. under my administration is completely rebuilding its military and they're spending hundreds of billions of dollars to the newest and finest military equipment anywhere in the world being built right now. I want peace through strength! https://t.co/2YXkIvRIFi",2017-11-08,14510,60351,"The U.S. under my administration is completely rebuilding its military and they're spending hundreds of billions of dollars to the newest and finest military equipment anywhere in the world being built right now. I want peace through strength! https://t.co/2YXkIvRIFi",3.75,"positive",74861,2017-11-01,2017-01-01,2017-11-06
"6763","Ed Gillespie worked hard but did not embrace me or what I stand for. Don’t forget Republicans won 4 out of 4 House seats and with the economy doing record numbers we will continue to win even bigger than before!",2017-11-08,19384,82401,"Ed Gillespie worked hard but did not embrace me or what I stand for. Don’t forget Republicans won 4 out of 4 House seats and with the economy doing record numbers we will continue to win even bigger than before!",1.4,"positive",101785,2017-11-01,2017-01-01,2017-11-06
"6764","Getting ready to make a major speech to the National Assembly here in South Korea then will be headed to China where I very much look forward to meeting with President Xi who is just off his great political victory.",2017-11-08,10982,62652,"Getting ready to make a major speech to the National Assembly here in South Korea then will be headed to China where I very much look forward to meeting with President Xi who is just off his great political victory.",3.55,"positive",73634,2017-11-01,2017-01-01,2017-11-06
"6766","Franklin such a great photo. HAPPY 99th BIRTHDAY to your father @BillyGraham! https://t.co/l0c7RvvOa1",2017-11-07,12708,60639,"Franklin such a great photo. HAPPY 99th BIRTHDAY to your father @BillyGraham! https://t.co/l0c7RvvOa1",2.05,"positive",73347,2017-11-01,2017-01-01,2017-11-06
"6772","Thank you to President Moon of South Korea for the beautiful welcoming ceremony. It will always be remembered. https://t.co/bMvJz1iV2a",2017-11-07,21474,71302,"Thank you to President Moon of South Korea for the beautiful welcoming ceremony. It will always be remembered. https://t.co/bMvJz1iV2a",1.85,"positive",92776,2017-11-01,2017-01-01,2017-11-06
"6773","It was my great honor to have lunch with our INCREDIBLE U.S. and ROK troops at Camp Humphreys in South Korea. 🇺🇸🇰🇷 https://t.co/5NJirz4iNM https://t.co/kNLyONhBCC",2017-11-07,13932,55541,"It was my great honor to have lunch with our INCREDIBLE U.S. and ROK troops at Camp Humphreys in South Korea. 🇺🇸🇰🇷 https://t.co/5NJirz4iNM https://t.co/kNLyONhBCC",2,"positive",69473,2017-11-01,2017-01-01,2017-11-06
"6775","I have great confidence in King Salman and the Crown Prince of Saudi Arabia they know exactly what they are doing....",2017-11-06,98277,120715,"I have great confidence in King Salman and the Crown Prince of Saudi Arabia they know exactly what they are doing....",1.95,"positive",218992,2017-11-01,2017-01-01,2017-11-06
"6776","Getting ready to leave for South Korea and meetings with President Moon a fine gentleman. We will figure it all out!",2017-11-06,13452,76570,"Getting ready to leave for South Korea and meetings with President Moon a fine gentleman. We will figure it all out!",1.8,"positive",90022,2017-11-01,2017-01-01,2017-11-06
"6777","My visit to Japan and friendship with PM Abe will yield many benefits for our great Country. Massive military &amp; energy orders happening+++!",2017-11-06,16010,68887,"My visit to Japan and friendship with PM Abe will yield many benefits for our great Country. Massive military &amp; energy orders happening+++!",2.4,"positive",84897,2017-11-01,2017-01-01,2017-11-06
"6783","It was a true honor to be at Yokota Air Base with our GREAT @USForcesJapan! https://t.co/KEXnIkkQks",2017-11-05,11959,56274,"It was a true honor to be at Yokota Air Base with our GREAT @USForcesJapan! https://t.co/KEXnIkkQks",2,"positive",68233,2017-11-01,2017-01-01,2017-10-30
"6787","Would very much appreciate Saudi Arabia doing their IPO of Aramco with the New York Stock Exchange. Important to the United States!",2017-11-04,18806,71273,"Would very much appreciate Saudi Arabia doing their IPO of Aramco with the New York Stock Exchange. Important to the United States!",2.8,"positive",90079,2017-11-01,2017-01-01,2017-10-30
"6790","Thank you for such a beautiful welcome Hawaii. My great honor to visit @PacificCommand upon arrival. Heading to Pearl Harbor w/ @FLOTUS now. https://t.co/6gDME9cmnS",2017-11-04,13173,68601,"Thank you for such a beautiful welcome Hawaii. My great honor to visit @PacificCommand upon arrival. Heading to Pearl Harbor w/ @FLOTUS now. https://t.co/6gDME9cmnS",3.65,"positive",81774,2017-11-01,2017-01-01,2017-10-30
"6791","Getting ready to land in Hawaii. Looking so much forward to meeting with our great Military/Veterans at Pearl Harbor!",2017-11-03,13176,89681,"Getting ready to land in Hawaii. Looking so much forward to meeting with our great Military/Veterans at Pearl Harbor!",1.9,"positive",102857,2017-11-01,2017-01-01,2017-10-30
"6797","Bernie Sanders supporters have every right to be apoplectic of the complete theft of the Dem primary by Crooked Hillary!",2017-11-03,16598,78239,"Bernie Sanders supporters have every right to be apoplectic of the complete theft of the Dem primary by Crooked Hillary!",1.2,"positive",94837,2017-11-01,2017-01-01,2017-10-30
"6800","Pocahontas just stated that the Democrats lead by the legendary Crooked Hillary Clinton rigged the Primaries! Lets go FBI &amp; Justice Dept.",2017-11-03,29297,104174,"Pocahontas just stated that the Democrats lead by the legendary Crooked Hillary Clinton rigged the Primaries! Lets go FBI &amp; Justice Dept.",1.5,"positive",133471,2017-11-01,2017-01-01,2017-10-30
"6802","....People are angry.  At some point the Justice Department and the FBI must do what is right and proper. The American public deserves it!",2017-11-03,30923,132126,"....People are angry. At some point the Justice Department and the FBI must do what is right and proper. The American public deserves it!",1.55,"positive",163049,2017-11-01,2017-01-01,2017-10-30
"6810","Great Tax Cut rollout today. The lobbyists are storming Capital Hill but the Republicans will hold strong and do what is right for America!",2017-11-03,13378,64743,"Great Tax Cut rollout today. The lobbyists are storming Capital Hill but the Republicans will hold strong and do what is right for America!",1.3,"positive",78121,2017-11-01,2017-01-01,2017-10-30
"6811","Today it was my pleasure and great honor to announce my nomination of Jerome Powell to be the next Chairman of the @FederalReserve. https://t.co/6aDuRy3zws",2017-11-02,9470,43458,"Today it was my pleasure and great honor to announce my nomination of Jerome Powell to be the next Chairman of the @FederalReserve. https://t.co/6aDuRy3zws",2.85,"positive",52928,2017-11-01,2017-01-01,2017-10-30
"6820","Great mtg w/ @Cabinet today. Tomorrow I will be announcing the new head of the Fed. I think you will be extremely impressed by this person! https://t.co/5ASJVLGAiG",2017-11-02,8265,40469,"Great mtg w/ @Cabinet today. Tomorrow I will be announcing the new head of the Fed. I think you will be extremely impressed by this person! https://t.co/5ASJVLGAiG",1.8,"positive",48734,2017-11-01,2017-01-01,2017-10-30
"6821","Happy birthday to @garyplayer a truly great Champion and Person!",2017-11-02,5181,34771,"Happy birthday to @garyplayer a truly great Champion and Person!",2.55,"positive",39952,2017-11-01,2017-01-01,2017-10-30
"6822","It is finally happening for our great clean coal miners! https://t.co/suAnjs6Ccz",2017-11-02,10387,46176,"It is finally happening for our great clean coal miners! https://t.co/suAnjs6Ccz",1.65,"positive",56563,2017-11-01,2017-01-01,2017-10-30
"6823","The United States will be immediately implementing much tougher Extreme Vetting Procedures. The safety of our citizens comes first!",2017-11-02,23108,107846,"The United States will be immediately implementing much tougher Extreme Vetting Procedures. The safety of our citizens comes first!",1.55,"positive",130954,2017-11-01,2017-01-01,2017-10-30
"6827","Thanks to @SenateMajLdr McConnell and the @SenateGOP we are appointing high-quality Federal District...",2017-11-01,8476,42572,"Thanks to @SenateMajLdr McConnell and the @SenateGOP we are appointing high-quality Federal District...",1.6,"positive",51048,2017-11-01,2017-01-01,2017-10-30
"6838","I have just ordered Homeland Security to step up our already Extreme Vetting Program. Being politically correct is fine but not for this!",2017-11-01,37799,150010,"I have just ordered Homeland Security to step up our already Extreme Vetting Program. Being politically correct is fine but not for this!",1.25,"positive",187809,2017-11-01,2017-01-01,2017-10-30
"6845","Consumer Confidence Hits Highest Level Since December 2000 Read more: https://t.co/w7WkcobFun https://t.co/nLo5XCnuIx",2017-10-31,10456,41278,"Consumer Confidence Hits Highest Level Since December 2000 Read more: https://t.co/w7WkcobFun https://t.co/nLo5XCnuIx",1.15,"positive",51734,2017-10-01,2017-01-01,2017-10-30
"6846","Wishing everyone a safe and Happy Halloween!#Halloween2017 https://t.co/BRpgXVRI8Y",2017-10-31,14090,63082,"Wishing everyone a safe and Happy Halloween!#Halloween2017 https://t.co/BRpgXVRI8Y",2.3,"positive",77172,2017-10-01,2017-01-01,2017-10-30
"6852","....came to the campaign. Few people knew the young low level volunteer named George who has already proven to be a liar. Check the DEMS!",2017-10-31,12889,56964,"....came to the campaign. Few people knew the young low level volunteer named George who has already proven to be a liar. Check the DEMS!",1.1,"positive",69853,2017-10-01,2017-01-01,2017-10-30
"6858","All of this ""Russia"" talk right when the Republicans are making their big push for historic Tax Cuts &amp; Reform. Is this coincidental? NOT!",2017-10-29,24182,94912,"All of this ""Russia"" talk right when the Republicans are making their big push for historic Tax Cuts &amp; Reform. Is this coincidental? NOT!",1.6,"positive",119094,2017-10-01,2017-01-01,2017-10-23
"6866","Happy #FirstRespondersDay to all of our HEROES out there. We are forever grateful to you for your service sacrifice and courage 24/7/365! https://t.co/vOcTlyOeyw",2017-10-28,15183,64713,"Happy #FirstRespondersDay to all of our HEROES out there. We are forever grateful to you for your service sacrifice and courage 24/7/365! https://t.co/vOcTlyOeyw",3.3,"positive",79896,2017-10-01,2017-01-01,2017-10-23
"6875","Happy Birthday @TheLeeGreenwood!#FlashbackFriday https://t.co/MCrMK6Eurm",2017-10-27,10335,42936,"Happy Birthday @TheLeeGreenwood!#FlashbackFriday https://t.co/MCrMK6Eurm",1.55,"positive",53271,2017-10-01,2017-01-01,2017-10-23
"6878","We are inspired by the stories of everyday heroes who pull their communities from the depths of despair through leadership and love. https://t.co/DL3oan4Fm7",2017-10-27,10359,49044,"We are inspired by the stories of everyday heroes who pull their communities from the depths of despair through leadership and love. https://t.co/DL3oan4Fm7",1.3,"positive",59403,2017-10-01,2017-01-01,2017-10-23
"6879","Diane Black of Tennessee the highly respected House Budget Committee Chairwoman did a GREAT job in passing Budget setting up big Tax Cuts",2017-10-27,11952,62357,"Diane Black of Tennessee the highly respected House Budget Committee Chairwoman did a GREAT job in passing Budget setting up big Tax Cuts",1.25,"positive",74309,2017-10-01,2017-01-01,2017-10-23
"6882","Happy birthday to the great @TheLeeGreenwood. You and your beautiful song have made such a difference. MAKE AMERICA GREAT AGAIN!",2017-10-27,10166,50517,"Happy birthday to the great @TheLeeGreenwood. You and your beautiful song have made such a difference. MAKE AMERICA GREAT AGAIN!",2.8,"positive",60683,2017-10-01,2017-01-01,2017-10-23
"6883","JFK Files are being carefully released. In the end there will be great transparency. It is my hope to get just about everything to public!",2017-10-27,20021,97067,"JFK Files are being carefully released. In the end there will be great transparency. It is my hope to get just about everything to public!",1.25,"positive",117088,2017-10-01,2017-01-01,2017-10-23
"6884","Happy birthday to the great @leegreenwood83. You and your beautiful song have made such a difference. MAKE AMERICA GREAT AGAIN!",2017-10-27,3138,15767,"Happy birthday to the great @leegreenwood83. You and your beautiful song have made such a difference. MAKE AMERICA GREAT AGAIN!",2.8,"positive",18905,2017-10-01,2017-01-01,2017-10-23
"6885","Good luck to @Joy_Villa on her decision to enter the wonderful world of politics. She has many fans!",2017-10-27,10481,51214,"Good luck to @Joy_Villa on her decision to enter the wonderful world of politics. She has many fans!",3.6,"positive",61695,2017-10-01,2017-01-01,2017-10-23
"6901","Melania and I look forward to being with President Xi &amp; Madame Peng Liyuan in China in two weeks for what will hopefully be a historic trip! https://t.co/uFMonzza7N",2017-10-25,9115,46862,"Melania and I look forward to being with President Xi &amp; Madame Peng Liyuan in China in two weeks for what will hopefully be a historic trip! https://t.co/uFMonzza7N",1.6,"positive",55977,2017-10-01,2017-01-01,2017-10-23
"6902","Spoke to President Xi of China to congratulate him on his extraordinary elevation. Also discussed NoKo &amp; trade two very important subjects!",2017-10-25,9943,56132,"Spoke to President Xi of China to congratulate him on his extraordinary elevation. Also discussed NoKo &amp; trade two very important subjects!",2,"positive",66075,2017-10-01,2017-01-01,2017-10-23
"6904","Congrats to @Reince Priebus a really good and talented man. We’re proud of you Reince! https://t.co/7AsjAMrSnV",2017-10-25,6074,33443,"Congrats to @Reince Priebus a really good and talented man. We’re proud of you Reince! https://t.co/7AsjAMrSnV",3,"positive",39517,2017-10-01,2017-01-01,2017-10-23
"6907","Working hard on the biggest tax cut in U.S. history. Great support from so many sides. Big winners will be the middle class business &amp; JOBS",2017-10-25,19051,95816,"Working hard on the biggest tax cut in U.S. history. Great support from so many sides. Big winners will be the middle class business &amp; JOBS",1.55,"positive",114867,2017-10-01,2017-01-01,2017-10-23
"6908","The meeting with Republican Senators yesterday outside of Flake and Corker was a love fest with standing ovations and great ideas for USA!",2017-10-25,12264,60710,"The meeting with Republican Senators yesterday outside of Flake and Corker was a love fest with standing ovations and great ideas for USA!",1.25,"positive",72974,2017-10-01,2017-01-01,2017-10-23
"6911","So nice being with Republican Senators today. Multiple standing ovations! Most are great people who want big Tax Cuts and success for U.S.",2017-10-24,17165,89407,"So nice being with Republican Senators today. Multiple standing ovations! Most are great people who want big Tax Cuts and success for U.S.",1.5,"positive",106572,2017-10-01,2017-01-01,2017-10-23
"6914","...the entire World WAS laughing and taking advantage of us. People like liddle' Bob Corker have set the U.S. way back. Now we move forward!",2017-10-24,15461,68553,"...the entire World WAS laughing and taking advantage of us. People like liddle' Bob Corker have set the U.S. way back. Now we move forward!",2.45,"positive",84014,2017-10-01,2017-01-01,2017-10-23
"6926","...2nd Amendment Strong Military ISIS historic VA improvement Supreme Court Justice Record Stock Market lowest unemployment in 17 yrs!",2017-10-22,17602,79676,"...2nd Amendment Strong Military ISIS historic VA improvement Supreme Court Justice Record Stock Market lowest unemployment in 17 yrs!",1.8,"positive",97278,2017-10-01,2017-01-01,2017-10-16
"6928","I agree getting Tax Cuts approved  is important (we will also get HealthCare) but perhaps no Administration has done more in its first.....",2017-10-21,13683,71314,"I agree getting Tax Cuts approved is important (we will also get HealthCare) but perhaps no Administration has done more in its first.....",1.75,"positive",84997,2017-10-01,2017-01-01,2017-10-16
"6939","Great book just out ""A Place Called Heaven"" by Dr. Robert Jeffress - A wonderful man!",2017-10-20,14079,72943,"Great book just out ""A Place Called Heaven"" by Dr. Robert Jeffress - A wonderful man!",2.05,"positive",87022,2017-10-01,2017-01-01,2017-10-16
"6940","This is a once-in-a-generation opportunity to offer historic tax relief to the American people! Join me today: https://t.co/9czcJDbmVW https://t.co/s3kXpvbYih",2017-10-20,16056,64941,"This is a once-in-a-generation opportunity to offer historic tax relief to the American people! Join me today: https://t.co/9czcJDbmVW https://t.co/s3kXpvbYih",1.5,"positive",80997,2017-10-01,2017-01-01,2017-10-16
"6941","Today it was an honor to have @UNSecretary-General @AntonioGuterres at the @WhiteHouse. Speaking for the U.S.A. we appreciate all you do! https://t.co/Sk0Jcazzxw",2017-10-20,7177,36967,"Today it was an honor to have @UNSecretary-General @AntonioGuterres at the @WhiteHouse. Speaking for the U.S.A. we appreciate all you do! https://t.co/Sk0Jcazzxw",1.5,"positive",44144,2017-10-01,2017-01-01,2017-10-16
"6947","Big ratings getter @seanhannity and Apprentice Champion John Rich are right now going on stage in Las Vegas for #VegasStrong. Great Show!",2017-10-20,9931,52376,"Big ratings getter @seanhannity and Apprentice Champion John Rich are right now going on stage in Las Vegas for #VegasStrong. Great Show!",2.55,"positive",62307,2017-10-01,2017-01-01,2017-10-16
"6956",".@DanaPerino &amp; @BradThorThank you so much for the wonderful compliment. Working hard! #MAGA https://t.co/AKWlsMsCVH",2017-10-18,10559,44591,".@DanaPerino &amp; @BradThorThank you so much for the wonderful compliment. Working hard! #MAGA https://t.co/AKWlsMsCVH",1.25,"positive",55150,2017-10-01,2017-01-01,2017-10-16
"6961","It was an honor to welcome Republican and Democratic members of the Senate Finance Committee to the @WhiteHouse today. #TaxReform https://t.co/ge4Xic9fId",2017-10-18,7511,36710,"It was an honor to welcome Republican and Democratic members of the Senate Finance Committee to the @WhiteHouse today. #TaxReform https://t.co/ge4Xic9fId",1.5,"positive",44221,2017-10-01,2017-01-01,2017-10-16
"6962","Our hearts are with all affected by the wildfires in California. God bless our brave First Responders and @FEMA team. We support you! https://t.co/YaoPbaVI5L",2017-10-18,9044,44208,"Our hearts are with all affected by the wildfires in California. God bless our brave First Responders and @FEMA team. We support you! https://t.co/YaoPbaVI5L",2,"positive",53252,2017-10-01,2017-01-01,2017-10-16
"6964","I am supportive of Lamar as a person &amp; also of the process but I can never support bailing out ins co's who have made a fortune w/ O'Care.",2017-10-18,13050,60949,"I am supportive of Lamar as a person &amp; also of the process but I can never support bailing out ins co's who have made a fortune w/ O'Care.",1.35,"positive",73999,2017-10-01,2017-01-01,2017-10-16
"6969","...people not interviewed including Clinton herself. Comey stated under oath that he didn't do this-obviously a fix? Where is Justice Dept?",2017-10-18,19842,73678,"...people not interviewed including Clinton herself. Comey stated under oath that he didn't do this-obviously a fix? Where is Justice Dept?",1.75,"positive",93520,2017-10-01,2017-01-01,2017-10-16
"6971","The most important truth our FOUNDERS understood was: FREEDOM is NOT a gift from Govt. FREEDOM is a GIFT from GOD. 🎥https://t.co/rmAzGt8SuG https://t.co/SrPavwrt2R",2017-10-18,17935,63961,"The most important truth our FOUNDERS understood was: FREEDOM is NOT a gift from Govt. FREEDOM is a GIFT from GOD. 🎥https://t.co/rmAzGt8SuG https://t.co/SrPavwrt2R",3,"positive",81896,2017-10-01,2017-01-01,2017-10-16
"6972","Thank you @Heritage! This is our once-in-a-generation opportunity to revitalize our economy revive our industry &amp; renew the AMERICAN DREAM! https://t.co/HI30nojsGo",2017-10-18,9709,42699,"Thank you @Heritage! This is our once-in-a-generation opportunity to revitalize our economy revive our industry &amp; renew the AMERICAN DREAM! https://t.co/HI30nojsGo",2.5,"positive",52408,2017-10-01,2017-01-01,2017-10-16
"6977","It was my great honor to welcome Prime Minister Alexis Tsipras of Greece to the WH today! 🎥https://t.co/Bn1vM6fYW9 📸https://t.co/j0roMFT3YL https://t.co/MPe5HWFcZ1",2017-10-17,6765,37587,"It was my great honor to welcome Prime Minister Alexis Tsipras of Greece to the WH today! 🎥https://t.co/Bn1vM6fYW9 📸https://t.co/j0roMFT3YL https://t.co/MPe5HWFcZ1",2.1,"positive",44352,2017-10-01,2017-01-01,2017-10-16
"6981","Always great to see the wonderful people of South Carolina. Thank you for the beautiful welcome at Greenville-Spartanburg Int'l Airport! https://t.co/maO9Nc0sTe",2017-10-16,12313,65889,"Always great to see the wonderful people of South Carolina. Thank you for the beautiful welcome at Greenville-Spartanburg Int'l Airport! https://t.co/maO9Nc0sTe",3,"positive",78202,2017-10-01,2017-01-01,2017-10-16
"6983","The U.S. has gained more than 5.2 trillion dollars in Stock Market Value since Election Day! Also record business enthusiasm.",2017-10-16,19613,96816,"The U.S. has gained more than 5.2 trillion dollars in Stock Market Value since Election Day! Also record business enthusiasm.",1.25,"positive",116429,2017-10-01,2017-01-01,2017-10-16
"6988","...approvals of The Keystone XL &amp; Dakota Access pipelines. Also look at the recent EPA cancelations &amp; our great new Supreme Court Justice!",2017-10-15,14897,77543,"...approvals of The Keystone XL &amp; Dakota Access pipelines. Also look at the recent EPA cancelations &amp; our great new Supreme Court Justice!",3.4,"positive",92440,2017-10-01,2017-01-01,2017-10-09
"6991","Very proud of my Executive Order which will allow greatly expanded access and far lower costs for HealthCare. Millions of people benefit!",2017-10-14,22827,118617,"Very proud of my Executive Order which will allow greatly expanded access and far lower costs for HealthCare. Millions of people benefit!",1.75,"positive",141444,2017-10-01,2017-01-01,2017-10-09
"6993","Such a wonderful statement from the great @LouDobbs. ""We take up what may be the most accomplished presidency in modern American history.""",2017-10-14,16039,68504,"Such a wonderful statement from the great @LouDobbs. ""We take up what may be the most accomplished presidency in modern American history.""",2.6,"positive",84543,2017-10-01,2017-01-01,2017-10-09
"6995","Money pouring into Insurance Companies profits under the guise of ObamaCare is over. They have made a fortune.Dems must get smart &amp; deal!",2017-10-14,15845,69168,"Money pouring into Insurance Companies profits under the guise of ObamaCare is over. They have made a fortune.Dems must get smart &amp; deal!",1.45,"positive",85013,2017-10-01,2017-01-01,2017-10-09
"6996","Many people talking with much agreement on my Iran speech today. Participants in the deal are making lots of money on trade with Iran!",2017-10-14,11325,54519,"Many people talking with much agreement on my Iran speech today. Participants in the deal are making lots of money on trade with Iran!",1.6,"positive",65844,2017-10-01,2017-01-01,2017-10-09
"6997","Starting to develop a much better relationship with Pakistan and its leaders. I want to thank them for their cooperation on many fronts.",2017-10-14,14106,70090,"Starting to develop a much better relationship with Pakistan and its leaders. I want to thank them for their cooperation on many fronts.",1.5,"positive",84196,2017-10-01,2017-01-01,2017-10-09
"7000","Consumer confidence soars to highest level since 2004📈https://t.co/RvxCPAFI2A https://t.co/U8MS9K45fX",2017-10-13,11415,48865,"Consumer confidence soars to highest level since 2004📈https://t.co/RvxCPAFI2A https://t.co/U8MS9K45fX",1.15,"positive",60280,2017-10-01,2017-01-01,2017-10-09
"7002","I have no greater privilege than to serve as your Commander-in-Chief. HAPPY BIRTHDAY to the incredible men and women @USNavy!#242NavyBday https://t.co/qcdB4U8CqA",2017-10-13,16683,73286,"I have no greater privilege than to serve as your Commander-in-Chief. HAPPY BIRTHDAY to the incredible men and women @USNavy!#242NavyBday https://t.co/qcdB4U8CqA",3.05,"positive",89969,2017-10-01,2017-01-01,2017-10-09
"7008","It is time to take care of OUR COUNTRY to rebuild OUR COMMUNITIES and to protect our GREAT AMERICAN WORKERS! #TaxReform https://t.co/FEjGjT4xp9",2017-10-13,16514,68837,"It is time to take care of OUR COUNTRY to rebuild OUR COMMUNITIES and to protect our GREAT AMERICAN WORKERS! #TaxReform https://t.co/FEjGjT4xp9",2.25,"positive",85351,2017-10-01,2017-01-01,2017-10-09
"7011","We need a tax system that is FAIR to working FAMILIES &amp; that encourages companies to STAY in AMERICA GROW in AMERICA and HIRE in AMERICA! https://t.co/DdI1yWi7YZ",2017-10-12,15614,68294,"We need a tax system that is FAIR to working FAMILIES &amp; that encourages companies to STAY in AMERICA GROW in AMERICA and HIRE in AMERICA! https://t.co/DdI1yWi7YZ",2.75,"positive",83908,2017-10-01,2017-01-01,2017-10-09
"7012","The time has come to take action to IMPROVE access INCREASE choices and LOWER COSTS for HEALTHCARE! ➡️https://t.co/mz5fdveTVh https://t.co/dDZLsKuNSe",2017-10-12,12853,52052,"The time has come to take action to IMPROVE access INCREASE choices and LOWER COSTS for HEALTHCARE! ➡️https://t.co/mz5fdveTVh https://t.co/dDZLsKuNSe",1.5,"positive",64905,2017-10-01,2017-01-01,2017-10-09
"7018","In even the darkest moments the light of our people has shown through their goodness their courage and their love. #USA🇺🇸 https://t.co/8JK8aM2a1L",2017-10-12,13520,60730,"In even the darkest moments the light of our people has shown through their goodness their courage and their love. #USA🇺🇸 https://t.co/8JK8aM2a1L",1.9,"positive",74250,2017-10-01,2017-01-01,2017-10-09
"7021","We need a tax system that is FAIR to working families &amp; that encourages companies to STAY in America GROW in America and HIRE in America🇺🇸 https://t.co/u9ZgijgLE3",2017-10-11,12276,56587,"We need a tax system that is FAIR to working families &amp; that encourages companies to STAY in America GROW in America and HIRE in America🇺🇸 https://t.co/u9ZgijgLE3",2.75,"positive",68863,2017-10-01,2017-01-01,2017-10-09
